"Sex","Wr.Hnd","NW.Hnd","W.Hnd","Fold","Pulse","Clap","Exer","Smoke","Height","M.I","Age","Wr.Hnd_z","NW.Hnd_z","Pulse_z","Height_z","Age_z","Sex_enc","W.Hnd_enc","M.I_enc","ExerFreq","ExerNone","ExerSome","SmokeHeavy","SmokeNever","SmokeOccas","SmokeRegul"
"Male",21.5,21.2,"Right","R on L",62,"Right","Some","Never",184,"Metric",18.25,1.52611983985794,1.37649953786543,-1.1887744991061,1.27934366305064,-0.487874719367923,2,2,2,0,0,1,0,1,0,0
"Female",17,17.5,"Right","R on L",64,"Left","Some","Never",171,"Metric",19.167,-0.907138956985373,-0.583319336552812,-0.988852869666225,-0.13070778785407,-0.0530627855004728,1,2,2,0,0,1,0,1,0,0
"Male",18.5,18.5,"Right","Neither",90,"Neither","Some","Never",171,"Metric",17.583,-0.0960526913709364,-0.0536385596830174,1.61012831305217,-0.13070778785407,-0.804144686532143,2,2,2,0,0,1,0,1,0,0
"Male",21,20.7,"Right","R on L",90,"Right","Some","Never",172.72,"Imperial",17.5,1.25575775131979,1.11165914943053,1.61012831305217,0.0558528656502452,-0.843500619477615,2,2,1,0,0,1,0,1,0,0
"Male",20.8,21.4,"Right","R on L",62,"Neither","Freq","Never",175.26,"Imperial",18.083,1.14761291590453,1.48243569323938,-1.1887744991061,0.331355226057779,-0.567060753125682,2,2,1,1,0,0,0,1,0,0
"Male",17.8,17.8,"Right","L on R",76,"Neither","Freq","Never",171,"Metric",21.917,-0.47455961532434,-0.424415103491873,0.210676906973035,-0.13070778785407,1.25089884823506,2,2,2,1,0,0,0,1,0,0
"Male",19.5,19.5,"Right","L on R",79,"Right","Some","Never",167,"Metric",19.25,0.444671485705355,0.476042217186777,0.51055935113285,-0.564569772747825,-0.013706852555001,2,2,2,0,0,1,0,1,0,0
"Female",18.5,18,"Right","R on L",76,"Right","None","Occas",171,"Metric",23.917,-0.0960526913709364,-0.318478948117914,0.210676906973035,-0.13070778785407,2.19923458186091,1,2,2,0,1,0,0,0,1,0
"Male",18.8,18.2,"Right","L on R",78,"Right","Freq","Never",180,"Metric",17.5,0.0661645617519512,-0.212542792743956,0.410598536412911,0.845481678156881,-0.843500619477615,2,2,2,1,0,0,0,1,0,0
"Female",17.1,17.5,"Right","R on L",72,"Right","Freq","Heavy",166.4,"Imperial",23.917,-0.853066539277743,-0.583319336552812,-0.189166351906718,-0.629649070481888,2.19923458186091,1,2,1,1,0,0,1,0,0,0
"Male",20.1,20,"Right","R on L",70,"Right","Some","Never",180,"Metric",17.167,0.76910599195113,0.740882605621674,-0.389087981346595,0.845481678156881,-1.00139851912632,2,2,2,0,0,1,0,1,0,0
"Male",18,19,"Right","L on R",54,"Neither","Some","Regul",171,"Metric",17.75,-0.366414779909082,0.21120182875188,-1.98846101686561,-0.13070778785407,-0.724958652774385,2,2,2,0,0,1,0,0,0,1
"Male",22.2,21,"Right","L on R",66,"Right","Freq","Occas",190,"Metric",18,1.90462676381134,1.27056338249147,-0.788931240226348,1.93013664039127,-0.606416686071154,2,2,2,1,0,0,0,0,1,0
"Female",16,16.5,"Right","L on R",72.5,"Right","Some","Never",168,"Metric",19,-1.44786313406166,-1.11300011342261,-0.139185944546749,-0.456104276524387,-0.132248819258232,1,2,2,0,0,1,0,1,0,0
"Male",19.4,18.5,"Right","R on L",72,"Neither","Freq","Never",182.5,"Metric",17.917,0.390599067997725,-0.0536385596830174,-0.189166351906718,1.11664541871548,-0.645772619016626,2,2,2,1,0,0,0,1,0,0
"Male",22,22,"Right","R on L",80,"Right","Some","Never",185,"Metric",23.917,1.79648192839608,1.80024415936126,0.610520165852788,1.38780915927408,2.19923458186091,2,2,2,0,0,1,0,1,0,0
"Male",19,19,"Right","R on L",72.5,"Neither","Freq","Occas",171,"Metric",19.917,0.174309397167209,0.21120182875188,-0.139185944546749,-0.13070778785407,0.302563114609219,2,2,2,1,0,0,0,0,1,0
"Female",17.5,16,"Right","L on R",72.5,"Right","Some","Never",169,"Metric",17.5,-0.636776868447227,-1.3778405018575,-0.139185944546749,-0.347638780300948,-0.843500619477615,1,2,2,0,0,1,0,1,0,0
"Female",17.8,18,"Right","R on L",72,"Right","Some","Never",154.94,"Imperial",17.083,-0.47455961532434,-0.318478948117914,-0.189166351906718,-1.8726636572025,-1.0412286199386,1,2,1,0,0,1,0,1,0,0
"Male",18.5,18.5,"Right","R on L",60,"Right","Some","Never",172,"Metric",23.917,-0.0960526913709364,-0.0536385596830174,-1.38869612854598,-0.0222422916306307,2.19923458186091,2,2,2,0,0,1,0,1,0,0
"Female",20.1,20.2,"Right","L on R",80,"Right","Some","Never",176.5,"Imperial",17.5,0.76910599195113,0.846818760995632,0.610520165852788,0.465852441374845,-0.843500619477615,1,2,1,0,0,1,0,1,0,0
"Female",14.05,14.2,"Right","L on R",70,"Left","Freq","Never",180.34,"Imperial",17.417,-2.50227527936043,-2.33126590022313,-0.389087981346595,0.88235994687285,-0.882856552423087,1,2,1,1,0,0,0,1,0,0
"Male",17,17.5,"Right","R on L",72.5,"Neither","Freq","Never",180.34,"Imperial",18.5,-0.907138956985373,-0.583319336552812,-0.139185944546749,0.88235994687285,-0.369332752664693,2,2,1,1,0,0,0,1,0,0
"Male",23.2,22.7,"Right","L on R",84,"Left","Freq","Regul",180,"Metric",18.917,2.44535094088763,2.17102070317012,1.01036342473254,0.845481678156881,-0.171604752203703,2,2,2,1,0,0,0,0,0,1
"Male",22.5,23,"Right","R on L",96,"Right","None","Never",170,"Metric",19.417,2.06684401693423,2.32992493623106,2.2098932013718,-0.239173284077509,0.0654791812027578,2,2,2,0,1,0,0,1,0,0
"Female",18,17.6,"Right","R on L",60,"Right","Some","Occas",168,"Metric",18.417,-0.366414779909082,-0.530351258865831,-1.38869612854598,-0.456104276524387,-0.408688685610165,1,2,2,0,0,1,0,0,1,0
"Female",18,17.9,"Right","R on L",50,"Left","None","Never",165,"Metric",23.917,-0.366414779909082,-0.371447025804895,-2.38830427574536,-0.781500765194703,2.19923458186091,1,2,2,0,1,0,0,1,0,0
"Male",22,21.5,"Left","R on L",55,"Left","Freq","Never",197,"Metric",18.5,1.79648192839608,1.53540377092637,-1.88850020214567,2.68939511395534,-0.369332752664693,2,1,2,1,0,0,0,1,0,0
"Male",20.5,20,"Right","L on R",68,"Right","Freq","Never",190,"Metric",17.5,0.985395662781646,0.740882605621674,-0.589009610786472,1.93013664039127,-0.843500619477615,2,2,2,1,0,0,0,1,0,0
"Male",17,18,"Right","L on R",78,"Left","Some","Never",170.18,"Imperial",18.333,-0.907138956985373,-0.318478948117914,0.410598536412911,-0.219649494757289,-0.448518786422452,2,2,1,0,0,1,0,1,0,0
"Male",20.5,19.5,"Right","L on R",56,"Right","Freq","Never",179,"Metric",17.417,0.985395662781646,0.476042217186777,-1.78853938742573,0.737016181933442,-0.882856552423087,2,2,2,1,0,0,0,1,0,0
"Male",22.5,22.5,"Right","R on L",65,"Right","Freq","Regul",182,"Metric",20,2.06684401693423,2.06508454779616,-0.888892054946286,1.06241267060376,0.341919047554691,2,2,2,1,0,0,0,0,0,1
"Male",18.5,18.5,"Right","L on R",72.5,"Neither","Freq","Never",171,"Metric",18.333,-0.0960526913709364,-0.0536385596830174,-0.139185944546749,-0.13070778785407,-0.448518786422452,2,2,2,1,0,0,0,1,0,0
"Female",15.5,15.4,"Right","R on L",70,"Neither","None","Never",157.48,"Imperial",17.167,-1.71822522259981,-1.69564896797938,-0.389087981346595,-1.59716129679497,-1.00139851912632,1,2,1,0,1,0,0,1,0,0
"Male",19.5,19.7,"Right","R on L",72,"Right","Freq","Never",171,"Metric",17.417,0.444671485705355,0.581978372560735,-0.189166351906718,-0.13070778785407,-0.882856552423087,2,2,2,1,0,0,0,1,0,0
"Male",19.5,19,"Right","L on R",62,"Right","Freq","Never",177.8,"Imperial",17.667,0.444671485705355,0.21120182875188,-1.1887744991061,0.606857586465316,-0.764314585719856,2,2,1,1,0,0,0,1,0,0
"Male",20.6,21,"Left","L on R",72.5,"Left","Freq","Occas",175.26,"Imperial",18.417,1.03946808048928,1.27056338249147,-0.139185944546749,0.331355226057779,-0.408688685610165,2,1,1,1,0,0,0,0,1,0
"Male",22.8,23,"Right","R on L",66,"Neither","Freq","Never",187,"Metric",20.333,2.22906127005712,2.32992493623106,-0.788931240226348,1.60474015172095,0.499816947203393,2,2,2,1,0,0,0,1,0,0
"Female",18.5,18.2,"Right","R on L",72,"Neither","Freq","Never",167.64,"Imperial",17.333,-0.0960526913709364,-0.212542792743956,-0.189166351906718,-0.495151855164826,-0.922686653235374,1,2,1,1,0,0,0,1,0,0
"Female",19.6,19.7,"Right","L on R",70,"Right","Freq","Never",178,"Metric",17.5,0.498743903412984,0.581978372560735,-0.389087981346595,0.628550685710003,-0.843500619477615,1,2,2,1,0,0,0,1,0,0
"Female",18.7,18,"Left","L on R",72.5,"Left","None","Never",170,"Metric",19.833,0.0120921440443214,-0.318478948117914,-0.139185944546749,-0.239173284077509,0.262733013796932,1,1,2,0,1,0,0,1,0,0
"Female",17.3,18,"Right","L on R",64,"Neither","Freq","Never",164,"Metric",18.583,-0.744921703862485,-0.318478948117914,-0.988852869666225,-0.889966261418142,-0.329976819719221,1,2,2,1,0,0,0,1,0,0
"Male",19.5,19.8,"Right","Neither",72.5,"Right","Freq","Never",183,"Metric",18,0.444671485705355,0.634946450247715,-0.139185944546749,1.1708781668272,-0.606416686071154,2,2,2,1,0,0,0,1,0,0
"Female",19,19.1,"Right","L on R",72.5,"Neither","Freq","Never",172,"Metric",23.917,0.174309397167209,0.26416990643886,-0.139185944546749,-0.0222422916306307,2.19923458186091,1,2,2,1,0,0,0,1,0,0
"Female",18.5,18,"Right","R on L",64,"Right","Freq","Never",171,"Metric",16.917,-0.0960526913709364,-0.318478948117914,-0.988852869666225,-0.13070778785407,-1.11994048582955,1,2,2,1,0,0,0,1,0,0
"Male",19,19,"Right","L on R",72.5,"Right","Some","Never",180,"Metric",19.917,0.174309397167209,0.21120182875188,-0.139185944546749,0.845481678156881,0.302563114609219,2,2,2,0,0,1,0,1,0,0
"Male",21,19.5,"Right","L on R",80,"Left","None","Never",171,"Metric",18.333,1.25575775131979,0.476042217186777,0.610520165852788,-0.13070778785407,-0.448518786422452,2,2,2,0,1,0,0,1,0,0
"Female",18,17.5,"Right","L on R",64,"Left","Freq","Never",170,"Metric",17.583,-0.366414779909082,-0.583319336552812,-0.988852869666225,-0.239173284077509,-0.804144686532143,1,2,2,1,0,0,0,1,0,0
"Male",19.4,19.5,"Right","R on L",72.5,"Right","Freq","Heavy",176,"Metric",17.833,0.390599067997725,0.476042217186777,-0.139185944546749,0.411619693263125,-0.685602719828913,2,2,2,1,0,0,1,0,0,0
"Female",17,16.6,"Right","R on L",68,"Right","Some","Never",171,"Metric",17.667,-0.907138956985373,-1.06003203573563,-0.589009610786472,-0.13070778785407,-0.764314585719856,1,2,2,0,0,1,0,1,0,0
"Female",16.5,17,"Right","L on R",50,"Left","Freq","Never",167.64,"Imperial",17.417,-1.17750104552352,-0.848159724987709,-2.38830427574536,-0.495151855164826,-0.882856552423087,1,2,1,1,0,0,0,1,0,0
"Female",15.6,15.8,"Right","R on L",88,"Left","Some","Never",165,"Metric",17.75,-1.66415280489218,-1.48377665723146,1.41020668361229,-0.781500765194703,-0.724958652774385,1,2,2,0,0,1,0,1,0,0
"Female",17.5,17.5,"Right","Neither",68,"Right","Freq","Heavy",170,"Metric",20.667,-0.636776868447227,-0.583319336552812,-0.589009610786472,-0.239173284077509,0.658189014718911,1,2,2,1,0,0,1,0,0,0
"Female",17,17.6,"Right","L on R",76,"Right","Some","Never",165,"Metric",23.583,-0.907138956985373,-0.530351258865831,0.210676906973035,-0.781500765194703,2.04086251434539,1,2,2,0,0,1,0,1,0,0
"Female",18.6,18,"Right","L on R",72.5,"Neither","Freq","Heavy",165.1,"Imperial",17.167,-0.0419802736633066,-0.318478948117914,-0.139185944546749,-0.77065421557236,-1.00139851912632,1,2,1,1,0,0,1,0,0,0
"Female",18.3,18.5,"Right","R on L",68,"Neither","Some","Never",165.1,"Imperial",17.083,-0.204197526786194,-0.0536385596830174,-0.589009610786472,-0.77065421557236,-1.0412286199386,1,2,1,0,0,1,0,1,0,0
"Male",20,20.5,"Right","L on R",72.5,"Right","Freq","Never",185.42,"Imperial",18.75,0.7150335742435,1.00572299405657,-0.139185944546749,1.43336466768792,-0.250790785961462,2,2,1,1,0,0,0,1,0,0
"Male",19.5,19.5,"Left","R on L",66,"Left","Some","Never",171,"Metric",16.75,0.444671485705355,0.476042217186777,-0.788931240226348,-0.13070778785407,-1.19912651958731,2,1,2,0,0,1,0,1,0,0
"Male",19.2,18.9,"Right","R on L",76,"Right","Freq","Never",176.5,"Imperial",20.167,0.282454232582467,0.1582337510649,0.210676906973035,0.465852441374845,0.42110508131245,2,2,1,1,0,0,0,1,0,0
"Female",17.5,17.5,"Right","R on L",98,"Left","Freq","Never",171,"Metric",17.667,-0.636776868447227,-0.583319336552812,2.40981483081168,-0.13070778785407,-0.764314585719856,1,2,2,1,0,0,0,1,0,0
"Female",17,17.4,"Right","R on L",72.5,"Neither","Some","Never",171,"Metric",17.167,-0.907138956985373,-0.636287414239792,-0.139185944546749,-0.13070778785407,-1.00139851912632,1,2,2,0,0,1,0,1,0,0
"Male",23,23,"Right","L on R",90,"Right","Freq","Never",167.64,"Imperial",17.167,2.33720610547237,2.32992493623106,1.61012831305217,-0.495151855164826,-1.00139851912632,2,2,1,1,0,0,0,1,0,0
"Female",17.7,17,"Right","R on L",76,"Right","Some","Never",167,"Metric",17.25,-0.52863203303197,-0.848159724987709,0.210676906973035,-0.564569772747825,-0.962042586180846,1,2,2,0,0,1,0,1,0,0
"Female",18.2,18,"Right","L on R",70,"Right","Some","Never",162.56,"Imperial",18,-0.258269944493824,-0.318478948117914,-0.389087981346595,-1.04615657597989,-0.606416686071154,1,2,1,0,0,1,0,1,0,0
"Female",18.3,18.5,"Right","R on L",75,"Left","Freq","Never",170,"Metric",18.75,-0.204197526786194,-0.0536385596830174,0.110716092253097,-0.239173284077509,-0.250790785961462,1,2,2,1,0,0,0,1,0,0
"Male",18,18,"Right","Neither",60,"Right","Freq","Never",179,"Metric",21.583,-0.366414779909082,-0.318478948117914,-1.38869612854598,0.737016181933442,1.09252678071955,2,2,2,1,0,0,0,1,0,0
"Female",18,17.7,"Left","R on L",92,"Left","Some","Never",171,"Metric",17.583,-0.366414779909082,-0.477383181178853,1.81004994249205,-0.13070778785407,-0.804144686532143,1,1,2,0,0,1,0,1,0,0
"Male",20.5,20,"Right","R on L",75,"Left","Some","Never",183,"Metric",19.667,0.985395662781646,0.740882605621674,0.110716092253097,1.1708781668272,0.184021147905988,2,2,2,0,0,1,0,1,0,0
"Female",17.5,18,"Right","Neither",72.5,"Right","Some","Never",171,"Metric",18,-0.636776868447227,-0.318478948117914,-0.139185944546749,-0.13070778785407,-0.606416686071154,1,2,2,0,0,1,0,1,0,0
"Female",18.2,17.5,"Right","L on R",70,"Right","Some","Never",165,"Metric",19.667,-0.258269944493824,-0.583319336552812,-0.389087981346595,-0.781500765194703,0.184021147905988,1,2,2,0,0,1,0,1,0,0
"Female",18.2,18.5,"Right","R on L",72.5,"Right","Some","Never",168,"Metric",17.083,-0.258269944493824,-0.0536385596830174,-0.139185944546749,-0.456104276524387,-1.0412286199386,1,2,2,0,0,1,0,1,0,0
"Male",21.3,20.8,"Right","R on L",65,"Right","Freq","Heavy",179,"Metric",22.833,1.41797500444268,1.16462722711751,-0.888892054946286,0.737016181933442,1.6852366142357,2,2,2,1,0,0,1,0,0,0
"Female",19,18.8,"Right","L on R",72.5,"Right","Some","Never",171,"Metric",17.083,0.174309397167209,0.105265673377921,-0.139185944546749,-0.13070778785407,-1.0412286199386,1,2,2,0,0,1,0,1,0,0
"Male",20,19.5,"Right","R on L",68,"Neither","Freq","Regul",190,"Metric",19.417,0.7150335742435,0.476042217186777,-0.589009610786472,1.93013664039127,0.0654791812027578,2,2,2,1,0,0,0,0,0,1
"Female",17.5,17.5,"Right","R on L",60,"Right","Freq","Never",166.5,"Metric",23.25,-0.636776868447227,-0.583319336552812,-1.38869612854598,-0.618802520859545,1.88296461469669,1,2,2,1,0,0,0,1,0,0
"Male",19.5,19.4,"Right","Neither",72.5,"Right","Freq","Never",165,"Metric",18.083,0.444671485705355,0.423074139499797,-0.139185944546749,-0.781500765194703,-0.567060753125682,2,2,2,1,0,0,0,1,0,0
"Female",19.4,19.6,"Right","R on L",68,"Neither","Freq","Never",175.26,"Imperial",19.083,0.390599067997725,0.529010294873757,-0.589009610786472,0.331355226057779,-0.0928928863127598,1,2,1,1,0,0,0,1,0,0
"Male",21.9,22.2,"Right","R on L",72.5,"Right","Some","Never",187,"Metric",18.917,1.74240951068845,1.90618031473522,-0.139185944546749,1.60474015172095,-0.171604752203703,2,2,2,0,0,1,0,1,0,0
"Male",18.9,19.1,"Right","L on R",60,"Neither","None","Never",170,"Metric",17.75,0.120236979459579,0.26416990643886,-1.38869612854598,-0.239173284077509,-0.724958652774385,2,2,2,0,1,0,0,1,0,0
"Female",16,16,"Right","Neither",72.5,"Right","Some","Never",159,"Metric",20.833,-1.44786313406166,-1.3778405018575,-0.139185944546749,-1.43229374253534,0.736900880609854,1,2,2,0,0,1,0,1,0,0
"Female",17.5,17.3,"Right","R on L",72,"Right","Freq","Never",175,"Metric",20.167,-0.636776868447227,-0.68925549192677,-0.189166351906718,0.303154197039686,0.42110508131245,1,2,2,1,0,0,0,1,0,0
"Female",17.5,17,"Right","R on L",80,"Left","Some","Heavy",163,"Metric",17.667,-0.636776868447227,-0.848159724987709,0.610520165852788,-0.998431757641581,-0.764314585719856,1,2,2,0,0,1,1,0,0,0
"Female",19.5,18.5,"Right","R on L",80,"Right","Some","Never",170,"Metric",18.25,0.444671485705355,-0.0536385596830174,0.610520165852788,-0.239173284077509,-0.487874719367923,1,2,2,0,0,1,0,1,0,0
"Female",16.2,16.4,"Right","R on L",72.5,"Right","Freq","Occas",172,"Metric",17,-1.33971829864641,-1.16596819110959,-0.139185944546749,-0.0222422916306307,-1.08058455288408,1,2,2,1,0,0,0,0,1,0
"Female",17,15.9,"Right","R on L",85,"Right","Freq","Never",171,"Metric",18.5,-0.907138956985373,-1.43080857954448,1.11032423945248,-0.13070778785407,-0.369332752664693,1,2,2,1,0,0,0,1,0,0
"Male",17.5,17.5,"Right","L on R",64,"Neither","Freq","Never",180,"Metric",18.583,-0.636776868447227,-0.583319336552812,-0.988852869666225,0.845481678156881,-0.329976819719221,2,2,2,1,0,0,0,1,0,0
"Male",19.7,20.1,"Right","R on L",67,"Left","Some","Regul",180.34,"Imperial",17.75,0.552816321120612,0.793850683308654,-0.68897042550641,0.88235994687285,-0.724958652774385,2,2,1,0,0,1,0,0,0,1
"Female",18.5,18.5,"Right","R on L",76,"Left","Freq","Never",175,"Metric",23.917,-0.0960526913709364,-0.0536385596830174,0.210676906973035,0.303154197039686,2.19923458186091,1,2,2,1,0,0,0,1,0,0
"Male",19.2,19.6,"Right","L on R",80,"Right","None","Never",190.5,"Imperial",18.167,0.282454232582467,0.529010294873757,0.610520165852788,1.98436938850299,-0.527230652313395,2,2,1,0,1,0,0,1,0,0
"Female",17.2,16.7,"Right","R on L",75,"Right","Freq","Never",170.18,"Imperial",21.167,-0.798994121570115,-1.00706395804865,0.110716092253097,-0.219649494757289,0.895272948125372,1,2,1,1,0,0,0,1,0,0
"Male",20.5,21,"Right","R on L",60,"Right","Freq","Never",185,"Metric",17.917,0.985395662781646,1.27056338249147,-1.38869612854598,1.38780915927408,-0.645772619016626,2,2,2,1,0,0,0,1,0,0
"Female",16,15.5,"Right","L on R",60,"Left","Freq","Never",162.56,"Imperial",17.417,-1.44786313406166,-1.6426808902924,-1.38869612854598,-1.04615657597989,-0.882856552423087,1,2,1,1,0,0,0,1,0,0
"Female",16.9,16,"Right","L on R",70,"Right","None","Never",158,"Metric",20.5,-0.961211374693003,-1.3778405018575,-0.389087981346595,-1.54075923875878,0.579002980961152,1,2,2,0,1,0,0,1,0,0
"Female",17,16.7,"Right","R on L",70,"Right","Some","Never",159,"Metric",22.917,-0.907138956985373,-1.00706395804865,-0.389087981346595,-1.43229374253534,1.72506671504799,1,2,2,0,0,1,0,1,0,0
"Male",23,22,"Left","L on R",83,"Left","Some","Heavy",193.04,"Imperial",18.917,2.33720610547237,1.80024415936126,0.910402610012603,2.25987174891052,-0.171604752203703,2,1,1,0,0,1,1,0,0,0
"Female",18.5,18,"Left","L on R",98,"Neither","Some","Never",171,"Metric",18.917,-0.0960526913709364,-0.318478948117914,2.40981483081168,-0.13070778785407,-0.171604752203703,1,1,2,0,0,1,0,1,0,0
"Male",21,20.4,"Right","L on R",98,"Right","Freq","Heavy",184,"Metric",20.083,1.25575775131979,0.952754916369591,2.40981483081168,1.27934366305064,0.381274980500163,2,2,2,1,0,0,1,0,0,0
"Male",20,20,"Right","R on L",80,"Neither","Freq","Occas",171,"Metric",17.5,0.7150335742435,0.740882605621674,0.610520165852788,-0.13070778785407,-0.843500619477615,2,2,2,1,0,0,0,0,1,0
"Male",22.5,22.5,"Right","L on R",76,"Right","Freq","Occas",177,"Metric",18.25,2.06684401693423,2.06508454779616,0.210676906973035,0.520085189486564,-0.487874719367923,2,2,2,1,0,0,0,0,1,0
"Female",18.5,18,"Right","R on L",92,"Right","Freq","Never",172,"Metric",17.5,-0.0960526913709364,-0.318478948117914,1.81004994249205,-0.0222422916306307,-0.843500619477615,1,2,2,1,0,0,0,1,0,0
"Male",19.8,20,"Left","L on R",59,"Right","Freq","Never",180,"Metric",17.417,0.606888738828242,0.740882605621674,-1.48865694326592,0.845481678156881,-0.882856552423087,2,1,2,1,0,0,0,1,0,0
"Male",18.5,18.1,"Right","L on R",66,"Left","Freq","Never",175.26,"Imperial",21,-0.0960526913709364,-0.265510870430934,-0.788931240226348,0.331355226057779,0.816086914367613,2,2,1,1,0,0,0,1,0,0
"Male",19.3,19.4,"Right","R on L",72.5,"Right","Freq","Never",180.34,"Imperial",19.833,0.336526650290097,0.423074139499797,-0.139185944546749,0.88235994687285,0.262733013796932,2,2,1,1,0,0,0,1,0,0
"Female",16,16,"Right","R on L",68,"Right","Freq","Never",172.72,"Imperial",17.667,-1.44786313406166,-1.3778405018575,-0.589009610786472,0.0558528656502452,-0.764314585719856,1,2,1,1,0,0,0,1,0,0
